2;CZE;Plzeňský;Díly;;E12.78650;N49.44637;10;
2;CZE;Plzeňský;Dlažov;;E13.16645;N49.36586;10;
2;CZE;Plzeňský;Dlouhá Ves;;E13.50936;N49.19638;10;
2;CZE;Plzeňský;Dlouhý Újezd;;E12.62858;N49.76841;10;
2;CZE;Plzeňský;Dnešice;;E13.26465;N49.60493;10;
2;CZE;Plzeňský;Dobřany;;E13.29318;N49.65493;10;
2;CZE;Plzeňský;Dobříč;;E13.46847;N49.88466;10;
2;CZE;Plzeňský;Dobřív;;E13.68692;N49.71576;10;
2;CZE;Plzeňský;Dobršín;;E13.56115;N49.26140;10;
2;CZE;Plzeňský;Dolany;;E13.47247;N49.80792;10;
2;CZE;Plzeňský;Dolce;;E13.39351;N49.55297;10;
2;CZE;Plzeňský;Dolní Bělá;;E13.27337;N49.89626;10;
2;CZE;Plzeňský;Dolní Hradiště;;E13.49632;N49.91384;10;
2;CZE;Plzeňský;Dolní Lukavice;;E13.34434;N49.60203;10;
3;CZE;Plzeňský;Domažlice;;E12.93124;N49.43980;10;
4;CZE;Plzeňský;Domažlice;Břetislavova 88;E12.93343;N49.44055;10;
2;CZE;Plzeňský;Domoraz;;E13.66211;N49.25073;10;
2;CZE;Plzeňský;Drahkov;;E13.47254;N49.55726;10;
2;CZE;Plzeňský;Drahoňův Újezd;;E13.72594;N49.87721;10;
3;CZE;Plzeňský;Drahotín;;E12.75826;N49.52424;10;
2;CZE;Plzeňský;Dražeň;;E13.28798;N49.92695;10;
3;CZE;Plzeňský;Draženov;;E12.87280;N49.45581;10;
2;CZE;Plzeňský;Dražovice;;E13.60711;N49.22478;10;
2;CZE;Plzeňský;Druztová;;E13.44883;N49.79752;10;
2;CZE;Plzeňský;Dýšina;;E13.49161;N49.77746;10;
2;CZE;Plzeňský;Ejpovice;;E13.51437;N49.74619;10;
2;CZE;Plzeňský;Erpužice;;E13.03608;N49.80706;10;
2;CZE;Plzeňský;Frymburk;;E13.70738;N49.24966;10;
2;CZE;Plzeňský;Halže;;E12.57951;N49.83113;10;
2;CZE;Plzeňský;Hamry;;E13.16055;N49.21542;10;
2;CZE;Plzeňský;Hartmanice;;E13.45466;N49.16959;10;
2;CZE;Plzeňský;Hejná;;E13.67480;N49.28948;10;
2;CZE;Plzeňský;Heřmanova Huť;;E13.08928;N49.70912;10;
3;CZE;Plzeňský;Herštejnské Chalupy;;E12.70620;N49.48770;10;
2;CZE;Plzeňský;Hlavňovice;;E13.39516;N49.23795;10;
2;CZE;Plzeňský;Hlince;;E13.62513;N49.94834;10;
2;CZE;Plzeňský;Hlohová;;E13.07468;N49.53414;10;
3;CZE;Plzeňský;Hlohovčice;;E13.11388;N49.52085;10;
2;CZE;Plzeňský;Hlohovice;;E13.64345;N49.88958;10;
2;CZE;Plzeňský;Hnačov;;E13.48178;N49.36193;10;
3;CZE;Plzeňský;Hněvnice;;E13.10324;N49.72861;10;
2;CZE;Plzeňský;Holoubkov;;E13.69257;N49.77609;10;
2;CZE;Plzeňský;Holovousy;;E13.61482;N49.96798;10;
2;CZE;Plzeňský;Holýšov;;E13.10140;N49.59372;10;
3;CZE;Plzeňský;Honezovice;;E13.06266;N49.63832;10;
2;CZE;Plzeňský;Hora Svatého Václava;;E12.73996;N49.51899;10;
2;CZE;Plzeňský;Horažďovice;;E13.70111;N49.32079;10;
3;CZE;Plzeňský;Horní Bělá;;E13.26422;N49.88908;10;
2;CZE;Plzeňský;Horní Bříza;;E13.35569;N49.84023;10;
3;CZE;Plzeňský;Horní Kamenice;;E13.10116;N49.56970;10;
2;CZE;Plzeňský;Horní Kozolupy;;E12.94175;N49.83762;10;
2;CZE;Plzeňský;Horní Lukavice;;E13.32708;N49.61243;10;
2;CZE;Plzeňský;Horšice;;E13.38630;N49.53157;10;
2;CZE;Plzeňský;Horská Kvilda;;E13.55808;N49.05772;10;
3;CZE;Plzeňský;Horšovský Týn;;E12.94453;N49.53029;10;
4;CZE;Plzeňský;Horšovský Týn;U Střelnice 252;E12.95071;N49.52497;10;
2;CZE;Plzeňský;Hošťka;;E12.59757;N49.69631;10;
3;CZE;Plzeňský;Hostouň;;E12.77158;N49.55982;10;
3;CZE;Plzeňský;Hradec;;E13.12148;N49.63516;10;
3;CZE;Plzeňský;Hrádek;;E13.65421;N49.71003;10;
2;CZE;Plzeňský;Hradešice;;E13.59655;N49.32321;10;
2;CZE;Plzeňský;Hradiště;;E13.71774;N49.96312;10;
2;CZE;Plzeňský;Hromnice;;E13.44157;N49.84918;10;
2;CZE;Plzeňský;Hůrky;;E13.68321;N49.74598;10;
2;CZE;Plzeňský;Hvozd;;E13.26323;N49.93984;10;
2;CZE;Plzeňský;Hvožďany;;E12.77139;N49.50568;10;
2;CZE;Plzeňský;Janovice nad Úhlavou;;E13.21824;N49.34526;10;
2;CZE;Plzeňský;Jarov;;E13.47439;N49.87257;10;
2;CZE;Plzeňský;Javor;;E13.24754;N49.32554;10;
2;CZE;Plzeňský;Ježovy;;E13.22850;N49.49116;10;
2;CZE;Plzeňský;Kaceřov;;E13.51277;N49.87071;10;
2;CZE;Plzeňský;Kakejcov;;E13.62429;N49.66704;10;
2;CZE;Plzeňský;Kamenec;;E13.59634;N49.88117;10;
2;CZE;Plzeňský;Kamenný Újezd;;E13.61886;N49.72377;10;
3;CZE;Plzeňský;Kanice;;E13.07281;N49.47512;10;
3;CZE;Plzeňský;Kaničky;;E13.14536;N49.47443;10;
2;CZE;Plzeňský;Kařez;;E13.78172;N49.82436;10;
2;CZE;Plzeňský;Kařízek;;E13.79974;N49.81347;10;
3;CZE;Plzeňský;Kasejovice;;E13.74071;N49.46281;10;
2;CZE;Plzeňský;Kašperské Hory;;E13.55626;N49.14300;10;
3;CZE;Plzeňský;Kaznějov;;E13.38306;N49.89324;10;
2;CZE;Plzeňský;Kbel;;E13.36570;N49.49381;10;
2;CZE;Plzeňský;Kbelany;;E13.12641;N49.73244;10;
3;CZE;Plzeňský;Kdyně;;E13.04064;N49.39035;10;
2;CZE;Plzeňský;Kejnice;;E13.69429;N49.26700;10;
2;CZE;Plzeňský;Klabava;;E13.53938;N49.75355;10;
3;CZE;Plzeňský;Kladruby;;E12.98002;N49.71541;10;
2;CZE;Plzeňský;Klášter;;E13.57678;N49.50201;10;
3;CZE;Plzeňský;Klatovy;;E13.29519;N49.39565;10;
3;CZE;Plzeňský;Klenčí pod Čerchovem;;E12.81484;N49.43495;10;
2;CZE;Plzeňský;Klenová;;E13.23329;N49.33354;10;
2;CZE;Plzeňský;Kočín;;E13.47625;N49.93049;10;
3;CZE;Plzeňský;Kočov;;E12.73671;N49.80877;10;
3;CZE;Plzeňský;Kokašice;;E12.94733;N49.87840;10;
3;CZE;Plzeňský;Kolinec;;E13.43911;N49.29906;10;
3;CZE;Plzeňský;Koloveč;;E13.10888;N49.48689;10;
2;CZE;Plzeňský;Konstantinovy Lázně;;E12.97798;N49.88126;10;
2;CZE;Plzeňský;Kopidlo;;E13.46449;N49.94330;10;
2;CZE;Plzeňský;Kornatice;;E13.59233;N49.65904;10;
2;CZE;Plzeňský;Koryta;;E13.47486;N49.90061;10;
3;CZE;Plzeňský;Kostelec;;E13.02649;N49.67442;10;
2;CZE;Plzeňský;Kotovice;;E13.15459;N49.67211;10;
3;CZE;Plzeňský;Kout na Šumavě;;E13.00219;N49.40266;10;
2;CZE;Plzeňský;Kovčín;;E13.60672;N49.41594;10;
2;CZE;Plzeňský;Kožlany;;E13.54118;N49.99400;10;
2;CZE;Plzeňský;Kozlovice;;E13.58293;N49.46510;10;
2;CZE;Plzeňský;Kozojedy;;E13.54252;N49.93134;10;
3;CZE;Plzeňský;Kozolupy;;E13.25221;N49.76390;10;
3;CZE;Plzeňský;Křakov;;E12.90934;N49.59007;10;
3;CZE;Plzeňský;Kralovice;;E13.48758;N49.98202;10;
2;CZE;Plzeňský;Kramolín;;E13.57706;N49.44618;10;
2;CZE;Plzeňský;Krašovice;;E13.30535;N49.87245;10;
2;CZE;Plzeňský;Křelovice;;E13.07591;N49.87442;10;
2;CZE;Plzeňský;Křenice;;E13.20040;N49.50281;10;
2;CZE;Plzeňský;Křenovy;;E13.02162;N49.53926;10;
2;CZE;Plzeňský;Krsy;;E13.05506;N49.92635;10;
2;CZE;Plzeňský;Kšice;;E12.99737;N49.80252;10;
2;CZE;Plzeňský;Kunějovice;;E13.23702;N49.86207;10;
3;CZE;Plzeňský;Kvášňovice;;E13.64208;N49.41312;10;
3;CZE;Plzeňský;Kvíčovice;;E13.07306;N49.59032;10;
2;CZE;Plzeňský;Kyšice;;E13.48631;N49.75335;10;
2;CZE;Plzeňský;Ledce;;E13.32854;N49.82174;10;
2;CZE;Plzeňský;Lesná;;E12.53778;N49.75429;10;
2;CZE;Plzeňský;Lestkov;;E12.87112;N49.88316;10;
3;CZE;Plzeňský;Letiny;;E13.45539;N49.54000;10;
2;CZE;Plzeňský;Letkov;;E13.46509;N49.73054;10;
2;CZE;Plzeňský;Lhota pod Radčem;;E13.71082;N49.82746;10;
2;CZE;Plzeňský;Lhotka u Radnic;;E13.58172;N49.89004;10;
